Id,Name,Mileage,Elevation,Latt,Long,State
102,Matts Creek Shelter,785.1,835,37.59955,-79.4132,VA
103,Johns Hollow Shelter,789,1020,37.61292,-79.39178,VA
104,Punchbowl Shelter,797.8,2500,37.67788,-79.33844,VA
105,Brown Mountain Creek Shelter,807.3,1395,37.70944,-79.26831,VA
106,Cow Camp Gap Shelter,812.9,3160,37.74504,-79.21269,VA
107,Seeley-Woodworth Shelter,823.1,3770,37.81897,-79.15488,VA
108,The Priest Shelter,829.7,3840,37.81765,-79.07033,VA
109,Harpers Creek Shelter,837.3,1800,37.85619,-79.0005,VA
110,Maupin Field Shelter,843.5,2720,37.8849,-78.99363,VA
111,Paul C. Wolfe Shelter,859.3,1700,37.98543,-78.88367,VA
112,Calf Mountain Shelter,872,2700,38.08553,-78.78555,VA
113,Blackrock Hut,885,2645,38.21426,-78.74294,VA
114,Pinefield Hut,898.2,2430,38.29057,-78.64576,VA
115,Hightop Hut,906.4,3175,38.33314,-78.55836,VA
116,Bearfence Mountain Hut,918.8,3110,38.44409,-78.47041,VA
117,Rock Spring Hut,930.3,3465,38.55353,-78.4083,VA
118,Byrds Nest #3 Hut,941.2,3290,38.63441,-78.32376,VA
119,Pass Mountain Hut,945.6,2690,38.6766,-78.3189,VA
120,Gravel Springs Hut,958.7,2480,38.76388,-78.23362,VA
121,Tom Floyd Wayside Shelter,969.2,1900,38.85046,-78.16366,VA
122,Jim & Molly Denton Shelter,977.3,1310,38.89007,-78.08306,VA
123,Manassas Gap Shelter,982.8,1655,38.93071,-78.03269,VA
124,Whiskey Hollow Shelter,987.3,1230,38.9697,-77.99721,VA
125,Rod Hollow Shelter,995.7,840,39.04763,-77.94408,VA
126,Sam Moore Shelter,1002.6,990,39.09067,-77.88627,VA
127,David Lesser Shelter,1016.8,1380,39.22723,-77.77909,VA
128,Ed Garvey Shelter,1032.4,1100,39.35982,-77.66172,MD
129,Crampton Gap Shelter,1036.5,1000,39.41259,-77.63702,MD
130,Rocky Run Shelters,1041.5,970,39.46095,-77.63087,MD
131,Dahlgren Backpack Campground,1043.3,980,39.49203,-77.60148,MD
132,Pine Knob Shelter,1049,1360,39.5425,-77.60181,MD
133,Pogo Memorial Campsite,1052.2,1500,39.57536,-77.60148,MD
134,Ensign Cowall Shelter,1057.2,1430,39.63102,-77.55566,MD
135,Raven Rock Shelter,1062.1,1654,39.67327,-77.52949,MD
136,Deer Lick Shelters,1071.7,1420,39.76615,-77.4848,PA
137,Antietam Shelter,1074.1,890,39.7938,-77.48257,PA
138,Tumbling Run Shelters,1075.3,1120,39.80484,-77.47806,PA
139,Rocky Mountain Shelters,1081.9,1520,39.86852,-77.5006,PA
140,Quarry Gap Shelters,1087.5,1455,39.93198,-77.48638,PA
141,Birch Run Shelter,1094.9,1795,39.98512,-77.41943,PA
142,Toms Run Shelters,1101.1,1300,40.03367,-77.35678,PA
143,James Fry Shelter,1112,805,40.06295,-77.20611,PA
144,Alec Kennedy Shelter,1120.1,850,40.11178,-77.10403,PA
145,Darlington Shelter,1138.3,1250,40.302,-77.0869,PA
146,Cove Mountain Shelter,1145.6,1200,40.36358,-77.06726,PA
147,Clarks Ferry Shelter,1153.9,1260,40.39238,-76.99412,PA
148,Peters Mountain Shelter,1160.6,970,40.42593,-76.87932,PA
149,Rausch Gap Shelter,1178.6,980,40.49865,-76.60012,PA
150,William Penn Shelter,1192,1300,40.49559,-76.41409,PA
151,501 Shelter,1196.1,1460,40.51312,-76.3464,PA
152,Eagles Nest Shelter,1211.2,1510,40.54933,-76.15239,PA
153,Windsor Furnace Shelter,1225.9,940,40.59055,-75.94123,PA
154,Eckville Shelter,1235,600,40.63375,-75.95789,PA
155,Allentown Shelter,1242.4,1350,40.68305,-75.87385,PA
156,Bake Oven Knob Shelter,1252.4,1380,40.75411,-75.72701,PA
157,George W. Outerbridge Shelter,1259.2,1000,40.78249,-75.61793,PA
158,Leroy A. Smith Shelter,1275.9,1410,40.8394,-75.35939,PA
159,Kirkridge Shelter,1289.6,1480,40.93672,-75.1864,PA
160,Backpacker Camp #2,1301.3,1287,41.02,-75.12,NJ
161,Brink Road Shelter,1320.9,1110,41.15323,-74.83777,NJ
162,Gren Anderson Shelter,1327.6,1320,41.19948,-74.75264,NJ
163,Mashipacong Shelter,1333.4,1425,41.25216,-74.68594,NJ
164,Rutherford Shelter,1336,1345,41.27746,-74.67781,NJ
165,High Point Shelter,1340.6,1280,41.31575,-74.65726,NJ
166,Pochuck Mountain Shelter,1353,840,41.27126,-74.51492,NJ
167,Wawayanda Shelter,1364.5,1200,41.20221,-74.39771,NJ
168,Wildcat Shelter,1376.7,1180,41.26824,-74.26777,NY
169,Fingerboard Shelter,1391.2,1300,41.26327,-74.10399,NY
170,William Brien Memorial Shelter,1396.5,1070,41.27973,-74.05929,NY
171,West Mountain Shelter,1399.9,1240,41.28236,-74.0092,NY
172,RPH Shelter,1431.8,360,41.51449,-73.79236,NY
173,Morgan Stewart Memorial Shelter,1440.8,1285,41.56454,-73.6917,NY
174,Telephone Pioneers Shelter,1448.6,910,41.60382,-73.6188,NY
175,Wiley Shelter,1457.4,740,41.63782,-73.53239,NY
176,Ten Mile River Shelter,1461.4,290,41.66516,-73.50922,CT
177,Mt. Algo Shelter,1469.8,655,41.7318,-73.49581,CT
178,Stewart Hollow Brook Shelter,1477.1,425,41.77928,-73.41851,CT
179,Pine Swamp Brook Shelter,1487.1,1075,41.88167,-73.39161,CT
180,Limestone Spring Shelter,1498.4,980,41.97536,-73.39231,CT
181,Riga Shelter,1505.8,1610,42.01562,-73.45196,CT
182,Brassie Brook Shelter,1507,1705,42.02835,-73.45335,CT
183,The Hemlocks Shelter,1515.8,1880,42.10968,-73.42865,MA
184,Glen Brook Shelter,1515.9,1885,42.11102,-73.42725,MA
185,Tom Leonard Shelter,1530.2,1540,42.16479,-73.3058,MA
186,Mt. Wilcox South Shelter,1535.6,1720,42.20771,-73.26829,MA
187,Mt. Wilcox North Shelter,1537.3,2100,42.22108,-73.25018,MA
188,Upper Goose Pond Cabin,1551.5,1483,42.28802,-73.18142,MA
189,October Mountain Shelter,1560.3,1950,42.35493,-73.15404,MA
190,Kay Wood Shelter,1569.1,1860,42.45211,-73.16148,MA
191,Mark Noepel Shelter,1585.8,2750,42.60862,-73.18415,MA
192,Wilbur Clearing Shelter,1592.4,2300,42.66776,-73.17015,MA
193,Seth Warner Shelter,1602.3,2180,42.77193,-73.13694,VT
194,Congdon Shelter,1609.5,2060,42.84807,-73.10994,VT
195,Melville Nauheim Shelter,1615.4,2330,42.88782,-73.09507,VT
196,Goddard Shelter,1623.9,3540,42.97409,-73.07169,VT
197,Kid Gore Shelter,1628.2,2795,43.01406,-73.04294,VT
198,Story Spring Shelter,1632.8,2810,43.05035,-73.01243,VT
199,Stratton Pond Shelter,1643.2,2565,43.1005,-72.96355,VT
200,William B Douglas Shelter,1648.1,2210,43.1444,-72.99098,VT
201,Spruce Peak Shelter,1651.1,2180,43.17858,-72.9952,VT
202,Bromley Shelter,1655.9,2560,43.22238,-72.95048,VT
203,Peru Peak Shelter,1664,2605,43.3012,-72.95185,VT
204,Lost Pond Shelter,1668.7,2150,43.3476,-72.95257,VT
205,Old Job Shelter,1670.2,1525,43.35404,-72.92845,VT
206,Big Branch Shelter,1670.4,1460,43.36413,-72.9464,VT
207,Little Rock Pond Shelter,1673.7,1920,43.40408,-72.95315,VT
208,Greenwall Shelter,1678.5,2025,43.44059,-72.92947,VT
209,Minerva Hinchey Shelter,1683.6,1605,43.48786,-72.92453,VT
210,Clarendon Shelter,1687.3,1190,43.52354,-72.91257,VT
211,Governor Clement Shelter,1693.4,1900,43.56465,-72.84836,VT
212,Cooper Lodge Shelter,1697.7,3900,43.60606,-72.82249,VT
213,Pico Camp Shelter,1700.2,3510,43.6389,-72.83101,VT
214,Churchill Scott Shelter,1702.1,2560,43.64489,-72.8534,VT
215,Tucker Johnson Camping Area,1705,2250,43.67943,-72.84295,VT
216,Gifford Woods State Park,1707.3,1660,43.67607,-72.8112,VT
217,Stony Brook Shelter,1714,1760,43.69176,-72.73015,VT
218,Wintturi Shelter,1723.9,1910,43.66218,-72.62193,VT
219,Cloudland Market Shelter,1733.9,1480,43.69214,-72.49312,VT
220,Thistle Hill Shelter,1736.2,1680,43.69518,-72.47532,VT
221,Happy Hill Shelter,1745,1460,43.72399,-72.36524,VT
222,Velvet Rocks Shelter,1752.3,1040,43.70251,-72.26472,NH
223,Moose Mountain Shelter,1761.8,1850,43.72718,-72.14926,NH
224,Trapper John Shelter,1767.5,1345,43.7831,-72.11151,NH
225,Smarts Mountain Cabin,1774.1,3220,43.82535,-72.03737,NH
226,Hexacuba Shelter,1779.5,1980,43.87623,-72.02686,NH
227,Jeffers Brook Shelter,1795.2,1350,43.99668,-71.88895,NH
228,Beaver Brook Shelter,1802.1,3650,44.03304,-71.81132,NH
229,Eliza Brook Campsite Shelter,1811.1,2400,44.10074,-71.74182,NH
230,Kinsman Pond Campsite Shelter,1815.1,3750,44.13681,-71.7323,NH
231,Lonesome Lake Hut,1817,2760,44.13842,-71.70312,NH
232,Greenleaf Hut,1826.3,4200,44.16024,-71.66024,NH
233,Garfield Ridge Campsite & Shelter,1830.2,3900,44.19069,-71.60836,NH
234,Galehead Hut,1832.9,3800,44.18777,-71.56885,NH
235,Guyot Campsite Shelter,1835.7,4580,44.16104,-71.53504,NH
236,Zealand Falls Hut,1839.9,2630,44.19583,-71.49431,NH
237,Ethan Pond Campsite Shelter,1844.7,2860,44.17715,-71.42659,NH
238,Mizpah Spring Hut,1854,3800,44.2193,-71.36956,NH
239,Lake of the Clouds Hut,1858.7,5012,44.2589,-71.31879,NH
280,Hermit Lake Shelters,1860.1,3875,44.26109,-71.2863,NH
240,The RMS Perch Shelter,1864.3,4313,44.32446,-71.31048,NH
241,Madison Spring Hut,1865.8,4825,44.32779,-71.28318,NH
242,Osgood Tent Site,1868.4,2554,44.30859,-71.25512,NH
243,Carter Notch Hut,1879.5,3350,44.25926,-71.19533,NH
244,Imp Campsite Shelter,1886.7,3250,44.32886,-71.15004,NH
245,Rattle River Shelter,1892.8,1260,44.3799,-71.10743,NH
246,Gentian Pond Shelter & Campsite,1906.5,2166,44.4518,-71.06938,NH
247,Carlo Col Shelter & Campsite,1911.7,2945,44.48867,-71.01618,ME
248,Full Goose Shelter,1916.1,3030,44.52515,-70.98088,ME
249,Speck Pond Shelter & Campsite,1921.2,3500,44.56469,-70.97362,ME
250,Baldpate Lean-to,1928.1,2645,44.59842,-70.91167,ME
251,Frye Notch Lean-to,1931.6,2280,44.62791,-70.89983,ME
252,Hall Mountain Lean-to,1942.1,2635,44.70079,-70.82473,ME
253,Bemis Mountain Lean-to,1954.9,2790,44.81018,-70.75588,ME
254,Sabbath Day Pond Lean-to,1963.2,2390,44.84094,-70.66212,ME
255,Piazza Rock Lean-to,1974.4,2080,44.90418,-70.53004,ME
256,Poplar Ridge Lean-to,1983.3,2920,44.97,-70.44534,ME
257,Spaulding Mountain Lean-to,1991.3,3140,44.99577,-70.34134,ME
258,Horns Pond Lean-tos,2009.9,3160,45.14388,-70.32966,ME
259,Little Bigelow Lean-to,2020.1,1760,45.13917,-70.19115,ME
260,West Carry Pond Lean-to,2027.8,1340,45.15803,-70.09977,ME
261,Pierce Pond Lean-to,2037.8,1150,45.24025,-70.05548,ME
262,Pleasant Pond Lean-to,2047.5,1320,45.27119,-69.91675,ME
263,Bald Mountain Brook Lean-to,2056.5,1280,45.25854,-69.79947,ME
264,Moxie Bald Lean-to,2060.6,1220,45.27068,-69.74534,ME
265,Horseshoe Canyon Lean-to,2069.5,880,45.28274,-69.62759,ME
266,Leeman Brook Lean-to,2081.5,1060,45.35151,-69.49877,ME
267,Wilson Valley Lean-to,2088.9,1000,45.39873,-69.45921,ME
268,Long Pond Stream Lean-to,2093.6,930,45.4211,-69.4096,ME
269,Cloud Pond Lean-to,2097.6,2420,45.41804,-69.35322,ME
270,Chairback Gap Lean-to,2104.5,2000,45.45311,-69.26174,ME
271,Carl A. Newhall Lean-to,2114.4,1860,45.53106,-69.31513,ME
272,Logan Brook Lean-to,2121.6,2480,45.5609,-69.23512,ME
273,East Branch Lean-to,2125.2,1225,45.59676,-69.19816,ME
274,Cooper Brook Falls Lean-to,2133.3,880,45.6405,-69.0874,ME
275,Potaywadjo Spring Lean-to,2144.7,710,45.70653,-69.00738,ME
281,Nahmakanta Stream Lean-to,2149,512,45.73416,-69.046854,ME
276,Wadleigh Stream Lean-to,2154.8,685,45.74702,-69.14447,ME
277,Rainbow Stream Lean-to,2162.9,1020,45.79906,-69.17041,ME
278,Hurd Brook Lean-to,2174.4,715,45.81852,-69.01847,ME
279,The Birches Shelters,2187.8,1080,45.88675,-68.99905,ME
